1,2,3,4,5,6,7,8,9
1.2,36,13,7.52,0.55,7.1,7.152,0.22,1
1.1,36,12,7.62,0.57,8.6,7.152,0.22,1
0.6,41,9.2,7.59,0.57,8.6,7.632524091,0.22,1
0.4,40,3.1,7.41,0.58,8.6,7.538869942,0.2,1
0.4,37,5,7.6,0.62,8.2,7.250652936,0.2,1
0.3,39,4.2,7.54,0.55,7.8,7.444037614,0.2,1
0.7,40,2.8,7.49,0.63,8.6,7.538869942,0.2,1
0.6,36,1.5,7.55,0.55,8.4,7.152,0.2,1
0.3,35,1.5,7.43,0.55,7.9,7.051967101,0.2,1
0.2,38,1.7,7.5,0.6,7.9,7.347981492,0.2,1
0.2,37,3.9,7.34,0.6,8.6,7.250652936,0.2,1
0.2,37,1.6,7.51,0.55,7.3,7.250652936,0.2,1
0.2,37,1.8,7.37,0.6,7.9,7.250652936,0.2,1
0.3,36,1.1,7.42,0.63,8,7.152,0.2,0
0.5,34,1,7.55,0.63,7,6.950494659,0.2,1
0.3,35,1.3,7.52,0.6,7.4,7.051967101,0.2,1
0.4,35,1.6,7.52,0.6,8.2,7.051967101,0.2,1
0.3,34,1,7.38,0.55,7.2,6.950494659,0.2,1
0.2,39,0.58,7.49,0.58,8,7.444037614,0.2,1
0.2,34,1.1,7.38,0.53,8.6,6.950494659,0.2,1
0.5,35,1.1,7.46,0.53,8.5,7.051967101,0.2,0
0.4,34,0.87,7.26,0.5,8.6,6.950494659,0.2,1
0.5,35,0.87,7.3,0.5,9.8,7.051967101,0.2,1
0.3,37,0.84,7.49,0.52,8.6,7.250652936,0.2,1
0.2,36,0.9,7.44,0.55,8.6,7.152,0.2,1
0.3,36,1,7.44,0.51,7.6,7.152,0.2,1
0.3,39,1.1,7.4,0.58,8,7.444037614,0.2,1
0.4,36,0.84,7.4,0.58,8.2,7.152,0.2,1
0.4,35,0.87,7.46,0.58,9.2,7.051967101,0.2,1
0.6,34,0.9,7.39,0.57,8.1,6.950494659,0.2,1
0.6,38,1.4,7.43,0.58,8.7,7.347981492,0.2,1
0.7,38,0.58,7.4,0.54,8.3,7.347981492,0.2,0
0.4,39,0.77,7.41,0.52,8.6,7.444037614,0.2,1
0.5,38,0.7,7.36,0.55,7.7,7.347981492,0.2,1
0.6,37,0.9,7.31,0.56,7.4,7.250652936,0.2,1
0.5,36,0.84,7.45,0.6,8.4,7.152,0.2,0
0.4,38,0.78,7.4,0.55,7.8,7.347981492,0.2,1
0.3,37,0.73,7.47,0.53,8.7,7.250652936,0.2,1
0.3,38,0.58,7.4,0.56,8.8,7.347981492,0.2,1
0.3,37,0.84,7.35,0.53,7.9,7.250652936,0.2,1
0.4,37,0.63,7.47,0.55,8.3,7.250652936,0.2,1
0.2,36,0.58,7.34,0.55,8.2,7.152,0.2,1
0.3,37,0.58,7.52,0.6,6.9,7.250652936,0.2,1
0.3,35,0.58,7.38,0.62,7.3,7.051967101,0.2,1
0.4,36,0.58,7.45,0.6,8.6,7.152,0.2,1
0.3,37,0.58,7.29,0.6,8,7.250652936,0.2,1
0.4,37,0.66,7.4,0.59,8.2,7.250652936,0.2,1
0.3,40,0.7,7.45,0.62,8,7.538869942,0.2,1
0.2,41,0.84,7.42,0.63,8.8,7.632524091,0.2,0
0.3,48,0.8,7.48,0.6,8.4,8.25841825,0.2,0
0.5,45,0.84,7.42,0.63,11,7.996179088,0.2,0
0.2,48,0.59,7.44,0.65,9,8.25841825,0.2,0
0.6,44,0.97,7.43,0.62,9.8,7.9068335,0.2,1
0.5,42,0.87,7.57,0.6,7,7.725042913,0.2,1
0.4,43,0.58,7.35,0.58,8.2,7.816466721,0.2,1
0.6,42,0.73,7.39,0.6,8.6,7.725042913,0.2,1
0.5,40,0.58,7.53,0.67,8.6,7.538869942,0.2,1
0.3,39,0.59,7.45,0.62,8.4,7.444037614,0.2,1
0.3,39,0.73,7.43,0.58,8.4,7.444037614,0.2,1
0.2,36,0.59,7.42,0.6,7.4,7.152,0.2,1
0.4,37,0.58,7.42,0.6,7.9,7.250652936,0.2,1
0.6,37,0.58,7.33,0.58,8.1,7.250652936,0.2,0
0.4,35,0.59,7.48,0.6,7.4,7.051967101,0.2,1
0.4,34,0.94,7.42,0.57,8.7,6.950494659,0.2,1
0.5,34,0.59,7.43,0.6,8.5,6.950494659,0.2,1
0.5,34,0.87,7.35,0.57,8.6,6.950494659,0.2,1
0.4,36,0.58,7.34,0.58,7.4,7.152,0.2,1
0.6,35,1.1,7.38,0.58,7,7.051967101,0.2,1
0.4,37,1.4,7.27,0.63,7.3,7.250652936,0.2,1
0.8,36,1,7.35,0.63,7.9,7.152,0.2,1
0.6,36,0.8,7.51,0.55,8.4,7.152,0.2,1
0.5,36,0.9,7.45,0.57,8.7,7.152,0.2,1
0.4,39,0.97,7.59,0.6,8.7,7.444037614,0.2,1
0.5,37,0.66,7.52,0.6,7.8,7.250652936,0.2,1
0.4,37,0.58,7.58,0.59,8.1,7.250652936,0.2,1
0.5,38,0.66,7.46,0.58,8.6,7.347981492,0.2,1
0.5,37,0.58,7.45,0.55,7.5,7.250652936,0.2,1
0.3,35,0.59,7.59,0.53,9.6,7.051967101,0.2,1
0.6,35,0.59,7.56,0.6,8.3,7.051967101,0.2,1
0.6,36,0.63,7.48,0.55,8,7.152,0.2,1
0.6,37,0.58,7.39,0.58,8.2,7.250652936,0.2,1
0.7,37,0.58,7.51,0.58,8,7.250652936,0.2,1
0.8,35,0.58,7.43,0.55,8.2,7.051967101,0.2,1
0.7,35,0.58,7.44,0.55,8.9,7.051967101,0.2,1
0.4,33,0.87,7.49,0.57,8.7,6.847518675,0.2,1
0.5,34,1,7.53,0.6,7.8,6.950494659,0.2,1
0.5,35,1,7.64,0.63,9.5,7.051967101,0.2,0
0.6,37,0.7,7.51,0.6,8.8,7.250652936,0.2,0
0.6,37,0.73,7.58,0.62,7.6,7.250652936,0.2,1
0.7,36,0.84,7.53,0.58,7.8,7.152,0.2,1
0.6,35,0.84,7.47,0.6,7.4,7.051967101,0.2,0
0.8,34,1.1,7.65,0.58,9,6.950494659,0.2,1
1,34,0.59,7.55,0.6,8.6,6.950494659,0.2,1
0.8,36,0.9,7.6,0.6,8.7,7.152,0.2,1
1.1,35,1.1,7.58,0.6,8,7.051967101,0.2,1
0.5,35,1.2,7.5,0.59,7.4,7.051967101,0.2,1
0.5,35,1.7,7.59,0.55,7.4,7.051967101,0.2,1
0.5,35,1.9,7.61,0.54,7.4,7.051967101,0.2,1
1,35,1.1,7.71,0.55,8.7,7.051967101,0.2,1
